conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 18 07:47:19 +0000 2025,0,gue ga pernah se emosi ini order gofood demi tuhan. GUE LAPAR ANJRITT,1.99E+18,,crushohse,in,,0,0,0,https://x.com/undefined/status/1990688252068835399,1.32E+18,
1.99E+18,Tue Nov 18 07:53:23 +0000 2025,0,sekelas jco aja gajelas udah sejam nunggu order gofood ga ada konfirmasi samsek,1.99E+18,,,in,,0,1,0,https://x.com/undefined/status/1990689781064610241,379066736,
1.99E+18,Tue Nov 18 07:55:10 +0000 2025,0,lebay sih ujannya gua pengen gofood...,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990690227183366615,1.09E+18,
1.99E+18,Tue Nov 18 08:04:01 +0000 2025,0,@Limbahbaru @watswetswots baru mau gua pesenin gofood,1.99E+18,,Limbahbaru,in,,0,2,0,https://x.com/undefined/status/1990692456464331033,1.35E+18,
1.99E+18,Tue Nov 18 08:12:20 +0000 2025,2,gofood ak n pondok renjani tinggal sebuah kenangan ya gofood... https://t.co/77EDXkyYTb,1.99E+18,https://pbs.twimg.com/media/G6BeJGfbMAAhKbx.jpg,,in,,0,0,0,https://x.com/undefined/status/1990694548025323990,1.23E+18,
1.99E+18,Tue Nov 18 08:15:48 +0000 2025,0,Jadi pen gofood daging bebong Nder ,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990695423175217498,1.66E+18,
1.99E+18,Tue Nov 18 08:15:53 +0000 2025,0,Dari Pada Blonde Creamy Latte DISKON jadi 2K-an aja bisa pick up ‼️ Klaim voucher-nya di sini sebelum habis https://t.co/4uue6niSc7 https://t.co/4uue6niSc7 t. daget gofood grabfood kode promo go grab shopee food jerome sfood gojek kopi https://t.co/sTOUNPz4mh,1.99E+18,https://pbs.twimg.com/media/G6Be9BSXwAAsKKq.jpg,,in,,0,0,0,https://x.com/undefined/status/1990695440635834716,4832675513,
1.99E+18,Tue Nov 18 08:17:41 +0000 2025,0,@gojekindonesia kalau kita pilih opsi pengiriman biasa di Gofood artinya driver bisa dapet double order yang searah ya.. ? Sudah 15 menit info di aplikasinya kaya gini aja.. https://t.co/uT2d7EWu2w,1.99E+18,https://pbs.twimg.com/media/G6BfXg8bMAAisUy.jpg,gojekindonesia,in,,0,1,0,https://x.com/undefined/status/1990695895525175764,1137211590,
1.99E+18,Tue Nov 18 08:20:29 +0000 2025,0,Shopeefood Diskon 70% s/d 19rb minbel 20K. Resto tertentu akun tertentu Cek dan klaim di resto ini https://t.co/R2mThLvcSR https://t.co/R2mThLvcSR Gofood grabfood kode promo go grab shopee food sfood voucher gacoan daget gojek gratis ongkir gojek daget makan https://t.co/7Ic2yOiHbn,1.99E+18,https://pbs.twimg.com/media/G6BgAb3XMAAjn-6.jpg,,in,,0,0,0,https://x.com/undefined/status/1990696598481858633,2935865906,
1.99E+18,Tue Nov 18 08:22:44 +0000 2025,0,WINGSTOP SHOPEEFOOD DISKON jadi 5K aja Combo 3 Boneless ‼️ Klaim voucher nya disini sebelum habis https://t.co/D3iHNzkDqg https://t.co/D3iHNzkDqg daget gofood grabfood kode promo go grab shopee food sfood voucher gojek thr shopeepay https://t.co/6O27Pbzs7N,1.99E+18,https://pbs.twimg.com/media/G6BghWKa4AEybkz.jpg,,in,,0,0,0,https://x.com/undefined/status/1990697167326228855,4712459707,
1.99E+18,Tue Nov 18 08:26:03 +0000 2025,0,Shopeefood Diskon 100% s/d 30rb. Untuk semua resto akun tertentu aja Cek dan klaim disini https://t.co/KxfBGaAE0h https://t.co/KxfBGaAE0h t. gofood grabfood kode promo go grab shopee food sfood voucher gacoan daget gojek gratis ongkir thr shopeepay https://t.co/oG66AFfWPI,1.99E+18,https://pbs.twimg.com/media/G6BhSE3WcAAU8aN.jpg,,in,,0,0,0,https://x.com/undefined/status/1990698001329770845,1.93E+18,
1.99E+18,Tue Nov 18 08:26:43 +0000 2025,0,Jadi inget pernah di benci banget sama driver kantor gegara nolak dia minjem 200rb habis gofood gue dateng. Lah itukan duit gue ya buat gue lahhh.,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990698167952970054,278393578,
1.99E+18,Tue Nov 18 08:27:29 +0000 2025,0,Ada potongan Moon Chicken klaim voucher nya di halaman resto (siapa tau hoki) ️ https://t.co/gwckoCbhoH Diskon gofood grabfood shopeefood kode promo go grab shopee food daget gojek thr shopeepay https://t.co/ObwOfLljxV,1.99E+18,https://pbs.twimg.com/media/G6BhmxhXwAAPb_P.jpg,,in,,0,0,0,https://x.com/undefined/status/1990698359892353317,4499272992,
1.99E+18,Tue Nov 18 08:27:47 +0000 2025,0,setelah 1 tahun lebih pake gofood plus hari ini aku udah gak lg karena merasa makin gak worth it byebye gojek,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990698438661714095,1.97E+18,
1.99E+18,Tue Nov 18 08:29:15 +0000 2025,0,beli donat 10 kotak sm gofood bukannya displit jd 2 driver malah 1 hadeh aplikasi jelek,1.99E+18,,,in,,0,0,0,https://x.com/undefined/status/1990698804639904011,83022893,
